time_period,geographic_level,region_code,region_name,new_la_code,la_name,entitlement_type,age,number_children_sen,percentage_children_sen
2024-01-01,Local authority,E12000002,North West,E08000015,Wirral,15-hour entitlement,3 and 4-year-olds,729,11.3
2024-01-01,Local authority,E12000002,North West,E08000015,Wirral,30-hour entitlement,3-year-olds,74,4.4
2024-01-01,Local authority,E12000002,North West,E08000015,Wirral,30-hour entitlement,4-year-olds,58,8.4
2024-01-01,Local authority,E12000002,North West,E08000015,Wirral,30-hour entitlement,3 and 4-year-olds,132,5.5
2024-01-01,Local authority,E12000003,Yorkshire and The Humber,E08000016,Barnsley,15-hour entitlement,3-year-olds,135,5.5
2024-01-01,Local authority,E12000003,Yorkshire and The Humber,E08000016,Barnsley,15-hour entitlement,4-year-olds,280,10.3
2024-01-01,Local authority,E12000003,Yorkshire and The Humber,E08000016,Barnsley,15-hour entitlement,3 and 4-year-olds,415,8
2024-01-01,Local authority,E12000003,Yorkshire and The Humber,E08000016,Barnsley,30-hour entitlement,3-year-olds,45,4.1
2024-01-01,Local authority,E12000003,Yorkshire and The Humber,E08000016,Barnsley,30-hour entitlement,4-year-olds,26,5.8
2024-01-01,Local authority,E12000003,Yorkshire and The Humber,E08000016,Barnsley,30-hour entitlement,3 and 4-year-olds,71,4.5
2024-01-01,Local authority,E12000003,Yorkshire and The Humber,E08000032,Bradford,15-hour entitlement,3-year-olds,323,5
2024-01-01,Local authority,E12000003,Yorkshire and The Humber,E08000032,Bradford,15-hour entitlement,4-year-olds,882,12.3
2024-01-01,Local authority,E12000003,Yorkshire and The Humber,E08000032,Bradford,15-hour entitlement,3 and 4-year-olds,1205,8.9
2024-01-01,Local authority,E12000003,Yorkshire and The Humber,E08000032,Bradford,30-hour entitlement,3-year-olds,53,2.4
2024-01-01,Local authority,E12000003,Yorkshire and The Humber,E08000032,Bradford,30-hour entitlement,4-year-olds,58,6.4
2024-01-01,Local authority,E12000003,Yorkshire and The Humber,E08000032,Bradford,30-hour entitlement,3 and 4-year-olds,111,3.6
2024-01-01,Local authority,E12000003,Yorkshire and The Humber,E08000033,Calderdale,15-hour entitlement,3-year-olds,184,8.5
2024-01-01,Local authority,E12000003,Yorkshire and The Humber,E08000033,Calderdale,15-hour entitlement,4-year-olds,317,13.6
2024-01-01,Local authority,E12000003,Yorkshire and The Humber,E08000033,Calderdale,15-hour entitlement,3 and 4-year-olds,501,11.2
2024-01-01,Local authority,E12000003,Yorkshire and The Humber,E08000033,Calderdale,30-hour entitlement,3-year-olds,58,5.3
2024-01-01,Local authority,E12000003,Yorkshire and The Humber,E08000033,Calderdale,30-hour entitlement,4-year-olds,48,11.5
2024-01-01,Local authority,E12000003,Yorkshire and The Humber,E08000033,Calderdale,30-hour entitlement,3 and 4-year-olds,106,7
2024-01-01,Local authority,E12000003,Yorkshire and The Humber,E08000017,Doncaster,15-hour entitlement,3-year-olds,178,5.8
2024-01-01,Local authority,E12000003,Yorkshire and The Humber,E08000017,Doncaster,15-hour entitlement,4-year-olds,399,11.1
2024-01-01,Local authority,E12000003,Yorkshire and The Humber,E08000017,Doncaster,15-hour entitlement,3 and 4-year-olds,577,8.7
2024-01-01,Local authority,E12000003,Yorkshire and The Humber,E08000017,Doncaster,30-hour entitlement,3-year-olds,45,3.4
2024-01-01,Local authority,E12000003,Yorkshire and The Humber,E08000017,Doncaster,30-hour entitlement,4-year-olds,30,5.6
2024-01-01,Local authority,E12000003,Yorkshire and The Humber,E08000017,Doncaster,30-hour entitlement,3 and 4-year-olds,75,4
2024-01-01,Local authority,E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,15-hour entitlement,3-year-olds,139,4.6
2024-01-01,Local authority,E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,15-hour entitlement,4-year-olds,318,10
2024-01-01,Local authority,E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,15-hour entitlement,3 and 4-year-olds,457,7.4
2024-01-01,Local authority,E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,30-hour entitlement,3-year-olds,75,3.8
2024-01-01,Local authority,E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,30-hour entitlement,4-year-olds,33,4.6
